Source,Target,Weight
"person:mohammad yousuf","person:sachin tendulkar",5
"other:cricket world cup","place:australia",1
"other:cricket world cup","place:pakistan",3
"person:pak","place:australia",84
"person:babar azam","product:twitter",1
"organization:pakistan","person:wahab riaz",6
"person:hasan","person:hussey wade",1
"person:hasan","person:rahat",2
"person:hasan","person:respect hasan",1
"person:hussey wade","person:rahat",1
"person:hussey wade","person:respect hasan",1
"person:rahat","person:respect hasan",1
"organization:indians","person:shaheen",5
"organization:indians","person:wade",9
"person:shaheen","person:wade",68
"person:madhaw ved","place:allahabad west",1
"person:madhaw ved","place:prayagraj",1
"place:allahabad west","place:prayagraj",1
"other:icc t20 world cup","place:uk",1
"organization:t20","person:asif khan",5
"place:india","place:pakistan",925
"organization:icc t20","person:hassan ali",2
"place:dubai","place:lahore",11
"place:dubai","place:sharjah",3
"place:lahore","place:sharjah",1
"person:mohammad rizwan","product:twitter",1
"person:hassan","person:pakistanis",2
"person:hassan","place:pakistan",45
"person:pakistanis","place:pakistan",23
"person:jay hind","place:australia",1
"person:jay hind","place:pakistan",1
"person:hassan ali","person:shaheen afridi",69
"organization:facebook","other:world cup",1
"organization:pakistan","place:pakistan",266
"person:amir","person:amir sohail",1
"person:amir","person:ball",1
"person:amir","person:morrison",1
"person:amir","person:warner",2
"person:amir sohail","person:ball",1
"person:amir sohail","person:morrison",1
"person:amir sohail","person:warner",1
"person:ball","person:morrison",1
"person:ball","person:warner",3
"person:morrison","person:warner",1
"person:john","person:john cena",1
"person:john","person:ms dhoni",1
"person:john","person:🤝ms dhoni",1
"person:john cena","person:ms dhoni",1
"person:john cena","person:🤝ms dhoni",1
"person:ms dhoni","person:🤝ms dhoni",1
"person:reyaz","place:jhelum valley",1
"person:reyaz","place:srinagar",1
"place:jhelum valley","place:srinagar",1
"person:hafeez","person:imad wasim",3
"person:hafeez","person:nawaz",2
"person:hafeez","person:shah afridi",1
"person:hafeez","person:wasim khan",1
"person:imad wasim","person:nawaz",2
"person:imad wasim","person:shah afridi",1
"person:imad wasim","person:wasim khan",1
"person:nawaz","person:shah afridi",1
"person:nawaz","person:wasim khan",1
"person:shah afridi","person:wasim khan",1
"organization:nz","place:nz",6
"organization:nz","place:pak",3
"place:nz","place:pak",7
"person:amir sohail","place:pakistan",2
"person:aaliyah wilderman","place:australia",3
"person:aaliyah wilderman","place:pakistan",3
"person:aaliyah wilderman","product:twitter",3
"place:australia","product:twitter",11
"place:pakistan","product:twitter",20
"organization:coptain","person:babar azam",1
"organization:coptain","person:hasan ali",1
"organization:coptain","person:yuvraj singh",1
"person:babar azam","person:hasan ali",55
"person:babar azam","person:yuvraj singh",1
"person:hasan ali","person:yuvraj singh",1
"organization:shopify","product:shopify promotion",1
"person:mohammed rizwan","place:australia",6
"organization:icc","place:pakistan",46
"person:hassa ali","person:hassan ali",1
"organization:t20","person:shoaib malik",5
"organization:australia","organization:pakistan",408
"organization:australia","other:t20 world cup",68
"organization:australia","person:babar azam",20
"organization:australia","person:zaheer khan",1
"organization:pakistan","person:babar azam",44
"organization:pakistan","person:zaheer khan",1
"other:t20 world cup","person:zaheer khan",1
"person:babar azam","person:zaheer khan",1
"place:new zealand","place:uae",2
"person:matty wade","place:pakistan",4
"person:aamir khan","person:tanhai",1
"person:rizwan","place:dubai",6
"person:rizwan","place:pakistan",235
"person:nadir ali","place:dubai cricket stadium",1
"person:haris rauf","person:maxwell",12
"person:rizwan","person:sarfaraz",17
"person:fakhar zaman","place:pakistan",120
"other:dibbly dobbly podcast","place:pakistan",1
"other:icc t20 world cup","place:pakistan",16
"person:hassan ali","person:shahid afridi",6
"person:hasan ali","person:shia",5
"person:hassan ali","person:saqlain mushtaq",2
"person:hassan ali","place:australia",312
"person:saqlain mushtaq","place:australia",3
"person:saqlain mushtaq","place:pakistan",4
"organization:icc","organization:pak government",1
"organization:icc","person:rizzi",1
"organization:pak government","person:rizzi",1
"organization:pakistan","person:️mohammad rizwan",1
"organization:pakistan","person:️shadab khan",1
"other:t20 world cup","person:️mohammad rizwan",1
"other:t20 world cup","person:️shadab khan",1
"person:️mohammad rizwan","person:️shadab khan",1
"person:️mohammad rizwan","place:australia",1
"person:️shadab khan","place:australia",1
"person:healy","person:redmayne",1
"person:dr. sainalabdeen","person:rizwan",2
"person:dr. sainalabdeen","place:pakistan",2
"place:australia","place:t20",21
"place:india","place:t20",7
"place:pakistan","place:t20",38
"person:hayden","place:pakistan",15
"person:mohammad rizwan","place:australia",136
"other:the test","product:amazon prime",1
"person:babar","person:hasan",9
"other:icc t20 world cup","person:mohammad rizwan",2
"person:alex carey","person:mustafizur rahman",1
"person:hasan ali","person:shoaib malik",21
"person:mohammad rizwan","person:rizwan",15
"person:babar azam","person:matthew wade",21
"organization:pakistan cricket","person:hassan ali",9
"organization:pakistan cricket","place:india",11
"person:mohammad rizwan","person:saj sadiq",1
"person:asif ali","person:hassan ali",19
"organization:australia","person:m. hafeez",1
"person:gobar azam","person:matt roller",1
"person:mathew wade","person:michael hussey",38
"person:david warner","person:justin langer",7
"person:hassan ali","person:shia",11
"organization:ind","organization:ind cricket",1
"organization:ind","organization:ind match",1
"organization:ind","organization:pak",8
"organization:ind cricket","organization:ind match",1
"organization:ind cricket","organization:pak",1
"organization:ind match","organization:pak",1
"organization:t20","place:india",22
"organization:t20","place:pakistan",126
"other:t20 world cup final sparks meme fest","person:wasim jaffer",1
"other:t20 world cup final sparks meme fest","place:australia",1
"person:wasim jaffer","place:australia",2
"person:nathan lyon","place:india",1
"organization:odis","person:jonny bairstow",1
"person:mohammad rizwan","person:vvs laxman",7
"person:hafeez","person:hassan ali",16
"place:australia","place:balochistan",5
"place:australia","place:gilgit",1
"place:balochistan","place:gilgit",1
"place:balochistan","place:pakistan",8
"place:gilgit","place:pakistan",1
"organization:melbourne stars","organization:pakistan cricket",1
"organization:melbourne stars","person:glenn maxwell",2
"organization:melbourne stars","person:superstar h rauf",1
"organization:pakistan cricket","person:glenn maxwell",1
"organization:pakistan cricket","person:superstar h rauf",1
"person:glenn maxwell","person:superstar h rauf",1
"person:stoinis","person:wade",418
"person:stoinis","place:australia",87
"person:stoinis","place:pakistan",67
"person:wade","place:australia",343
"person:wade","place:pakistan",285
"person:murali vijay","person:vijay",1
"person:murali vijay","place:tamil nadu",1
"person:vijay","place:tamil nadu",1
"person:hassan ali","place:t20",4
"person:imran khan","person:reham khan",1
"person:matthew wade","person:pakistan🏏",1
"person:shaheen shah afridi","person:shahid afridi",4
"person:dennis","person:muhammad rizwan",1
"person:matthew wade","place:pakistan",169
"organization:t20","person:muhammad rizwan",6
"organization:bcci","place:india",6
"person:mayank agarwal","person:rohit sharma",1
"place:karachi","place:pakistan",120
"organization:indians","person:matthew wade",15
"person:babar azam","person:shoaib akhtar",1
"person:babar azam","place:australia",70
"person:babar azam","place:pakistan",150
"person:shoaib akhtar","place:australia",5
"person:shoaib akhtar","place:pakistan",7
"organization:icc champions","person:hasan ali",1
"organization:ipl","organization:psl",4
"organization:ipl","person:kaun hai wade",1
"organization:psl","person:kaun hai wade",1
"person:muhammad rizwan","person:rizwan",12
"person:muhammad rizwan","person:shoaib malik",79
"person:rizwan","person:shoaib malik",38
"other:world cup","person:pakistani cricketer mohammad",1
"other:world cup","place:dubai",4
"person:pakistani cricketer mohammad","place:dubai",1
"person:3odi","place:australia",1
"person:3odi","place:pakistan",1
"person:inzi","person:rohit sharma",1
"person:inzi","person:saeed anwar",1
"person:inzi","person:tendulkar",1
"person:rohit sharma","person:saeed anwar",1
"person:rohit sharma","person:tendulkar",1
"person:saeed anwar","person:tendulkar",1
"person:babar azam","person:imran khan",6
"person:imran khan","place:australia",9
"person:finch","place:australia",26
"other:dajjal","person:rasulullah",1
"other:dajjal","person:yajuj majuj",1
"person:rasulullah","person:yajuj majuj",1
"organization:#emirate airlines","place:delhi-ncr",2
"organization:fiverr","organization:shopify",2
"organization:australia","place:pakistan",218
"person:babar azam","person:wasim akram",4
"organization:aus","organization:pak",68
"organization:icc world","organization:pakistan 🇵🇰",1
"person:hassan ali","person:shami",18
"organization:aus","organization:cricket",1
"organization:aus","organization:ind",1
"organization:aus","organization:nz",52
"organization:aus","place:pakistan",39
"organization:cricket","organization:ind",1
"organization:cricket","organization:nz",1
"organization:cricket","place:pakistan",35
"organization:ind","organization:nz",14
"organization:ind","place:pakistan",3
"person:hasan ali","person:mathew wade",54
"person:hasan ali","person:pat cummins",2
"person:hasan ali","person:stoinis",31
"person:mathew wade","person:pat cummins",1
"person:mathew wade","person:stoinis",15
"person:pat cummins","person:stoinis",2
"place:africa","place:malawi",1
"person:hayden bhai","person:pakistanis",1
"person:hassan","person:rizwan babar shadab shaheen",1
"other:t20 world cup","person:shadab khan",18
"organization:pakistan cricket","person:hasan ali",2
"person:mohammad kaif","person:shadab khan",1
"organization:pakistan 🇵🇰","organization:t20",1
"organization:cricket","person:babar azam xi",1
"person:mohammad rizwan","place:pak",1
"organization:pak","organization:t20",39
"organization:amazon","organization:fiverr",10
"organization:amazon","product:shopify",10
"organization:fiverr","product:shopify",11
"organization:australia","person:werner",1
"person:hasan ali","person:shaheen afridi",92
"person:shaheen afridi","place:australia",61
"person:fine-leg fielder","person:shaheen afridi",1
"person:fine-leg fielder","person:wade",1
"person:shaheen afridi","person:wade",128
"person:akram","person:hasan ali",1
"person:akram","person:wade",1
"person:akram","person:waqar younis",1
"person:hasan ali","person:wade",125
"person:hasan ali","person:waqar younis",5
"person:wade","person:waqar younis",1
"place:cricket stadium","place:pakistan",2
"organization:t20 world cup","person:glenn maxwell",2
"organization:t20 world cup","person:haris rauf",2
